,0
0,601877.SH
1,688316.SH
2,600736.SH
3,601975.SH
4,600640.SH
5,688619.SH
6,300355.SZ
7,688387.SH
8,000905.SZ
9,600823.SH
10,603345.SH
11,601788.SH
12,688597.SH
13,688561.SH
14,603877.SH
15,002707.SZ
16,601018.SH
17,688348.SH
18,603505.SH
19,002197.SZ
20,300841.SZ
21,600845.SH
22,600212.SH
23,002318.SZ
24,300143.SZ
25,002088.SZ
26,000768.SZ
27,000712.SZ
28,002181.SZ
29,603990.SH
30,600153.SH
31,688310.SH
32,000537.SZ
33,600590.SH
34,688555.SH
35,301248.SZ
36,002075.SZ
37,301316.SZ
38,002277.SZ
39,600644.SH
40,603730.SH
41,605111.SH
42,002408.SZ
43,600121.SH
44,002320.SZ
45,002160.SZ
46,600328.SH
47,688565.SH
48,002850.SZ
49,601328.SH
50,601677.SH
51,605123.SH
52,002245.SZ
53,002120.SZ
54,301081.SZ
55,600537.SH
56,300346.SZ
57,000869.SZ
58,300804.SZ
59,603650.SH
60,600012.SH
61,002044.SZ
62,002150.SZ
63,002313.SZ
64,600533.SH
65,601669.SH
66,002339.SZ
67,601118.SH
68,688026.SH
69,601199.SH
70,600592.SH
71,002897.SZ
72,600863.SH
73,301428.SZ
74,000070.SZ
75,688306.SH
76,002262.SZ
77,603087.SH
78,301291.SZ
79,002038.SZ
80,000050.SZ
81,001896.SZ
82,603529.SH
83,002498.SZ
84,002554.SZ
85,300006.SZ
86,688132.SH
87,600873.SH
88,300263.SZ
89,300353.SZ
90,002649.SZ
91,600339.SH
92,600037.SH
93,002355.SZ
94,002681.SZ
95,600095.SH
96,002064.SZ
97,688326.SH
98,688683.SH
99,300308.SZ
100,301190.SZ
101,002164.SZ
102,301345.SZ
103,603858.SH
104,688215.SH
105,002042.SZ
106,601212.SH
107,000935.SZ
108,601200.SH
109,000488.SZ
110,601929.SH
111,002943.SZ
112,002053.SZ
113,600025.SH
114,600109.SH
115,603799.SH
116,301292.SZ
117,600756.SH
118,000729.SZ
119,002533.SZ
120,600776.SH
121,688233.SH
122,002610.SZ
123,000403.SZ
124,002557.SZ
125,688266.SH
126,688113.SH
127,301373.SZ
128,002508.SZ
129,002275.SZ
130,300923.SZ
131,300182.SZ
132,600529.SH
133,600739.SH
134,300620.SZ
135,600654.SH
136,603368.SH
137,688299.SH
138,688420.SH
139,688155.SH
140,002254.SZ
141,600284.SH
142,002203.SZ
143,300058.SZ
144,300124.SZ
145,300271.SZ
146,600469.SH
147,603938.SH
148,300948.SZ
149,600032.SH
150,600582.SH
151,000818.SZ
152,603826.SH
153,300950.SZ
154,301210.SZ
155,300034.SZ
156,300009.SZ
157,000997.SZ
158,600346.SH
159,002324.SZ
160,300039.SZ
161,603229.SH
162,600691.SH
163,688253.SH
164,000813.SZ
165,301311.SZ
